chip,event,threshold_db,all_iou,all_recall,all_precision,all_n_pos,cropland_iou,cropland_recall,cropland_precision,cropland_n_pos,open_water_iou,open_water_recall,open_water_precision,open_water_n_pos,vegetation_iou,vegetation_recall,vegetation_precision,vegetation_n_pos
Bolivia_103757,Bolivia,-13.623390197753906,0.7989083303575983,0.8857530682653696,0.8906898708980265,35362,nan,nan,nan,0,nan,nan,nan,0,0.7989083303575983,0.8857530682653696,0.8906898708980265,35362
Bolivia_129334,Bolivia,-13.148679733276367,0.8155995329336245,0.8637828624885466,0.9359846696475685,156067,nan,nan,nan,0,0.9250317662007624,0.9551716597419637,0.9670135045384104,4573,0.8123745652634597,0.8609769792251544,0.9350268300381647,151385
Bolivia_195474,Bolivia,-8.227874755859375,0.011822389222380058,0.8317214700193424,0.01185073584801661,1551,nan,nan,nan,0,nan,nan,nan,0,0.011823581170259568,0.8317214700193424,0.01185193351892175,1551
Bolivia_23014,Bolivia,-13.449968338012695,0.6576457229371688,0.8933161953727506,0.7136989114807969,7780,nan,nan,nan,0,0.9008253281017453,0.9052345343303875,0.9946220495966537,7355,0.03490342256862081,0.46396396396396394,0.03637005649717514,222
Bolivia_233925,Bolivia,-9.8118257522583,0.0,0.0,0.0,1,nan,nan,nan,0,nan,nan,nan,0,0.0,0.0,0.0,1
Bolivia_242570,Bolivia,-13.095710754394531,0.3132234151698626,0.7926570613618079,0.341177026112414,27346,0.1111111111111111,0.23076923076923078,0.17647058823529413,13,0.8939447592067988,0.9571563981042654,0.9312061969752858,5275,0.244911682219999,0.7422706034397057,0.26767405176740516,20118
Bolivia_290290,Bolivia,-10.170233726501465,0.22349837254986307,0.7912584395146962,0.23750171418123087,19699,nan,nan,nan,0,0.965327462850853,0.994895065229722,0.9701327433628318,1763,0.20250642104330882,0.769994948644553,0.2155448717948718,17817
Bolivia_294583,Bolivia,-14.202117919921875,0.7538614848031888,0.9073160980810234,0.8167586372360844,15008,nan,nan,nan,0,0.8693310436343767,0.9741952414275717,0.889821029082774,11432,0.41467164506918514,0.638700947225981,0.5417503586800574,2956
Bolivia_312675,Bolivia,-9.0529146194458,0.1516531592914007,0.8833420365535248,0.15475253865154148,9575,nan,nan,nan,0,0.0,nan,0.0,0,0.1517293340987371,0.8834343012325047,0.15482902540821555,9574
Bolivia_314919,Bolivia,-13.142526626586914,0.7330826257488902,0.8130332942947968,0.8817247501911637,83678,nan,nan,nan,0,0.9212598425196851,0.9547477744807121,0.9633233532934131,1348,0.7301644697193824,0.8107578688664209,0.8801727667780581,82191
Bolivia_360519,Bolivia,-8.710025787353516,0.0037002403145204267,0.8888888888888888,0.0037019525787922378,414,0.42857142857142855,1.0,0.42857142857142855,6,nan,nan,nan,0,0.003556137611444114,0.8847117794486216,0.0035577863110896096,399
Bolivia_379434,Bolivia,-8.876084327697754,0.110886255850957,0.6652455977757182,0.11743917802391976,10790,0.375,1.0,0.375,3,0.6539115646258503,0.8077731092436975,0.7744209466263847,952,0.09972636540499502,0.6478627209206741,0.10544183557428591,9732
Bolivia_432776,Bolivia,-13.144837379455566,0.7051065560636501,0.7929309030424839,0.8642434131012812,72145,nan,nan,nan,0,0.9769198489299202,0.9856054191363252,0.9910600255427842,2362,0.696855297945902,0.7864212761074133,0.8595236975369612,69712
Bolivia_60373,Bolivia,-10.902304649353027,0.23105356710026662,0.9165865384615385,0.23601625848515484,12480,0.0,nan,0.0,0,0.551978978485794,0.8931703428115865,0.5909970107262177,3763,0.1847846182288778,0.9304165696997906,0.18737404508600083,8594
Bolivia_76104,Bolivia,-9.38990592956543,2.241097241209296e-05,0.4,2.241172581494638e-05,5,nan,nan,nan,0,nan,nan,nan,0,2.242755898448013e-05,0.4,2.2428313502966144e-05,5
Ghana_103272,Ghana,-9.655574798583984,0.015412283610131517,0.9845956354300385,0.015416000884359893,1558,0.0051501098364657065,0.9745958429561201,0.005150801303567723,433,0.8222748815165877,1.0,0.8222748815165877,347,0.05283116435404637,0.9808,0.052885859718747305,625
Ghana_1033830,Ghana,-12.340276718139648,0.6434468524251806,0.6826806871120017,0.9180070561435675,96811,0.7039279869067103,0.8046772684752105,0.8489932885906041,10690,0.9746966176090885,0.977219777375097,0.9973579920739762,3863,0.6131735646548555,0.6469569264181189,0.9215216910952346,77356
Ghana_1078550,Ghana,-9.951225280761719,0.0061004491629236424,0.5309168443496801,0.006133508498234666,1407,0.041237113402061855,0.8,0.041666666666666664,5,nan,nan,nan,0,0.005984926850894044,0.5305676855895196,0.006016787580161933,1374
Ghana_1089161,Ghana,-10.03411865234375,0.025028929412234148,0.8630890952872377,0.02512869819522064,2907,0.004777218804627764,0.5755627009646302,0.004794107800468698,622,0.9939498703543648,0.9982638888888888,0.9956709956709957,1152,0.034224343675417664,0.8515439429928741,0.03442977190876351,842
Ghana_11745,Ghana,-9.348836898803711,0.0,nan,0.0,0,0.0,nan,0.0,0,nan,nan,nan,0,0.0,nan,0.0,0
Ghana_124834,Ghana,-9.514315605163574,0.0,nan,0.0,0,0.0,nan,0.0,0,nan,nan,nan,0,0.0,nan,0.0,0
Ghana_128663,Ghana,-8.903164863586426,0.0,nan,0.0,0,0.0,nan,0.0,0,0.0,nan,0.0,0,0.0,nan,0.0,0
Ghana_132163,Ghana,-7.3850908279418945,0.0,nan,0.0,0,0.0,nan,0.0,0,0.0,nan,0.0,0,0.0,nan,0.0,0
Ghana_134751,Ghana,-8.738348007202148,0.0,nan,0.0,0,0.0,nan,0.0,0,nan,nan,nan,0,0.0,nan,0.0,0
Ghana_135389,Ghana,-8.855361938476562,0.012923923006416132,0.5595238095238095,0.013056764515232891,252,nan,nan,nan,0,nan,nan,nan,0,0.011390777144956826,0.5321888412017167,0.01150598496798738,233
Ghana_141271,Ghana,-9.523810386657715,0.00892391542045856,0.6485330073349633,0.008967283361083173,1636,0.04203262233375157,0.7790697674418605,0.04253968253968254,86,nan,nan,nan,0,0.0062027022357372405,0.5968412302576891,0.006228799958358997,1203
Ghana_141910,Ghana,-14.467413902282715,0.3676017460521248,0.6484359518754423,0.45910247930571424,70650,0.4159364057916154,0.6412418663009541,0.542081894425259,34271,0.7680499544685834,0.9226441631504922,0.8209121245828699,6399,0.2752687127687128,0.5987465230097532,0.33753473600635175,28401
Ghana_142312,Ghana,-9.858903884887695,0.0,nan,0.0,0,0.0,nan,0.0,0,nan,nan,nan,0,0.0,nan,0.0,0
Ghana_144050,Ghana,-10.58574104309082,0.0,nan,0.0,0,0.0,nan,0.0,0,nan,nan,nan,0,0.0,nan,0.0,0
Ghana_146222,Ghana,-8.894147872924805,0.0,nan,0.0,0,0.0,nan,0.0,0,nan,nan,nan,0,0.0,nan,0.0,0
Ghana_147015,Ghana,-9.46491813659668,0.02216235755843977,0.7294617563739377,0.022346029349231557,3530,0.019709253564439474,0.7790055248618785,0.019820073095305032,181,nan,nan,nan,0,0.018838144224609357,0.7069686411149826,0.018986394175883818,2870
Ghana_154838,Ghana,-9.77111530303955,0.0,nan,0.0,0,0.0,nan,0.0,0,nan,nan,nan,0,0.0,nan,0.0,0
Ghana_156478,Ghana,-9.319440841674805,0.0,nan,0.0,0,0.0,nan,0.0,0,nan,nan,nan,0,0.0,nan,0.0,0
Ghana_161233,Ghana,-12.32040023803711,0.0,nan,0.0,0,0.0,nan,0.0,0,nan,nan,nan,0,0.0,nan,0.0,0
Ghana_167233,Ghana,-9.536910057067871,0.0,nan,0.0,0,0.0,nan,0.0,0,nan,nan,nan,0,0.0,nan,0.0,0
Ghana_168875,Ghana,-8.106437683105469,0.0,nan,0.0,0,nan,nan,nan,0,nan,nan,nan,0,0.0,nan,0.0,0
Ghana_187318,Ghana,-9.272607803344727,0.0,nan,0.0,0,0.0,nan,0.0,0,nan,nan,nan,0,0.0,nan,0.0,0
Ghana_194723,Ghana,-9.201288223266602,0.0,nan,0.0,0,0.0,nan,0.0,0,0.0,nan,0.0,0,0.0,nan,0.0,0
Ghana_234935,Ghana,nan,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,0
Ghana_247288,Ghana,-15.926383972167969,0.44443257106219275,0.46818011257035647,0.8975613265232717,26650,0.6098926738217452,0.6211977186311787,0.9710252600297177,2104,0.9143468950749465,0.9452877925363694,0.9654392764857881,3162,0.35871572666571955,0.3780317396945803,0.8753177721284955,20038
Ghana_24858,Ghana,-9.229793548583984,0.001977335415905088,0.49173553719008267,0.001981384971444746,484,0.00011598909702487966,0.8571428571428571,0.00011599133931333127,7,nan,nan,nan,0,0.002498429131384459,0.4326424870466321,0.00250664185041202,386
Ghana_26376,Ghana,nan,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,0
Ghana_264787,Ghana,-9.079469680786133,0.0,nan,0.0,0,0.0,nan,0.0,0,nan,nan,nan,0,0.0,nan,0.0,0
Ghana_277,Ghana,nan,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,0
Ghana_308249,Ghana,-10.052871704101562,0.0628143190908011,0.790161892901619,0.06387991180645745,8030,0.05334337036652476,0.7530230853792598,0.05429326287978864,2729,0.9465597862391449,0.9819819819819819,0.9632902787219578,1443,0.04484251634264369,0.747100424328147,0.04553369769486733,3535
Ghana_313799,Ghana,-8.90455436706543,0.09153860226856934,0.6701265653251188,0.09585799950188709,14933,0.10290697674418604,0.6459854014598541,0.10905730129390019,274,nan,nan,nan,0,0.0878772579378436,0.6626480541455161,0.09199283554041754,14184
Ghana_319168,Ghana,-12.781179428100586,0.48944704216893314,0.5773892361023254,0.7626671122994653,39521,0.42388904613642797,0.5356606338078547,0.6701270807231072,13979,0.9591836734693877,0.9591836734693877,1.0,98,0.5238737917198614,0.588558314892222,0.8265899280575539,24402
Ghana_359826,Ghana,-9.429759979248047,0.022444954794204778,0.7520022883295194,0.022612330558040322,3496,0.07123070834982193,0.823170731707317,0.072337575351641,656,nan,nan,nan,0,0.018276522123242288,0.7258771929824561,0.018403543562466408,2736
Ghana_362274,Ghana,-10.810750007629395,0.1664943851900578,0.7718362012633413,0.1751130439079835,18364,0.18119680733783128,0.8806258036862409,0.18575949367088607,4666,0.88,0.9565217391304348,0.9166666666666666,46,0.1603249458961853,0.7333776595744681,0.17024816066130444,13536
Ghana_406026,Ghana,-11.25389289855957,0.04820949384658092,0.9681765389082462,0.04828600887406017,4305,0.01590427143289912,0.8885754583921015,0.015936053423721955,709,0.922384701912261,0.9969604863221885,0.924985899605189,1645,0.02895024936139156,0.9620048504446241,0.028983389351648885,1237
Ghana_45911,Ghana,-8.463825225830078,0.0,nan,0.0,0,0.0,nan,0.0,0,nan,nan,nan,0,0.0,nan,0.0,0
Ghana_495107,Ghana,-9.578140258789062,0.019684480938046683,0.630967416014145,0.019913744310074057,3959,0.02900833497407626,0.7403685092127303,0.029306458029439066,597,nan,nan,nan,0,0.018280158224725753,0.6099970068841665,0.018496333405939158,3341
Ghana_49890,Ghana,-9.830452919006348,0.0,nan,0.0,0,0.0,nan,0.0,0,nan,nan,nan,0,0.0,nan,0.0,0
Ghana_5079,Ghana,nan,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,0,nan,nan,nan,0
