chip,event,threshold_db,all_iou,all_recall,all_precision,all_n_pos,cropland_iou,cropland_recall,cropland_precision,cropland_n_pos,open_water_iou,open_water_recall,open_water_precision,open_water_n_pos,vegetation_iou,vegetation_recall,vegetation_precision,vegetation_n_pos
Sri-Lanka_612594,Sri-Lanka,nan,0.9007366870132604,0.9923246376811594,0.9070561054706543,43125,0.3701923076923077,1.0,0.3701923076923077,77,0.9834919936169042,0.9993569850988286,0.9841147482311483,35769,0.6366127706220882,0.9576748660162154,0.6550427671773663,7277
Sri-Lanka_63307,Sri-Lanka,nan,0.10902959910078681,0.41541755888650966,0.12878955521132995,7005,0.4115983026874116,0.5091863517060368,0.6822977725674091,5715,nan,nan,nan,0,0.0,0.0,0.0,1097
Sri-Lanka_649970,Sri-Lanka,nan,0.13159328413649646,0.15320302139191605,0.4826521344232516,17343,0.07707959305804907,0.08770854613551243,0.38877150618774525,14685,0.6058225508317929,0.8780977896851976,0.6614530776992936,1493,0.04595879556259905,0.05225225225225225,0.2761904761904762,1110
Sri-Lanka_653336,Sri-Lanka,nan,0.3748753215391884,0.7942386831275721,0.41519855805570094,17982,0.2037037037037037,0.6811502938706969,0.22517521337866908,4764,0.3853546582514523,0.9219286204529856,0.3983540925266904,5828,0.6996378169102035,0.7664523190586947,0.8892063492063492,7309
Sri-Lanka_713926,Sri-Lanka,nan,0.8530820062831762,0.9781631182768986,0.8696439614806962,80506,0.0,nan,0.0,0,0.9836201586443576,0.9911206252295844,0.9923650568181818,78947,0.03700680272108844,0.24113475177304963,0.041884816753926704,1128
Sri-Lanka_748447,Sri-Lanka,nan,0.20885657633840052,0.25922887612797374,0.5180327868852459,1219,0.03731343283582089,0.07352941176470588,0.07042253521126761,68,0.125,0.3023255813953488,0.17567567567567569,86,0.24956217162872155,0.2750965250965251,0.7289002557544757,1036
Sri-Lanka_845821,Sri-Lanka,nan,0.9941559710176935,0.998004655803126,0.9961359400134476,234546,1.0,1.0,1.0,1,0.9982614861516906,0.9989954517474865,0.9992645581148744,233936,0.07428571428571429,0.07692307692307693,0.6842105263157895,169
Sri-Lanka_847275,Sri-Lanka,nan,0.6845443050286937,0.6973089727330374,0.9739551619153058,50464,0.015581395348837209,0.015595903165735567,0.9436619718309859,8592,0.9569742813918306,0.9658584254565443,0.9904797695102092,32746,0.2986323197450538,0.31257817929117443,0.8700193423597679,7195
Sri-Lanka_849649,Sri-Lanka,nan,0.48606811145510836,0.4978858350951374,0.9534412955465587,1892,0.18930041152263374,0.2026431718061674,0.7419354838709677,227,0.7635036496350365,0.7691176470588236,0.990530303030303,680,0.3831376734258271,0.39364035087719296,0.9348958333333334,912
Sri-Lanka_85652,Sri-Lanka,nan,0.0,0.0,0.0,1941,0.0,0.0,0.0,539,0.0,0.0,nan,7,0.0,0.0,nan,1356
Sri-Lanka_883641,Sri-Lanka,nan,0.6610554089709763,0.9279259259259259,0.6968348445235579,13500,0.018461538461538463,0.8571428571428571,0.018518518518518517,7,0.9798427991886409,0.9849624060150376,0.9947232947232947,7847,0.4611153057922554,0.8338209479227618,0.5077800213802114,5127
Sri-Lanka_916628,Sri-Lanka,nan,0.5397805212620027,0.540601540650606,0.9971943162277129,81524,0.39498230942425216,0.3957460522075411,0.9951377633711507,3103,0.8869161050429932,0.8870810283110967,0.9997904222990673,43022,0.13426771653543307,0.13465790637437614,0.9788748564867968,31658
Sri-Lanka_922192,Sri-Lanka,nan,0.21052631578947367,0.6951456310679611,0.23194039520570134,1030,0.13153232949512844,0.7054631828978623,0.13917525773195877,421,0.0056657223796034,0.07407407407407407,0.006097560975609756,27,0.5339308578745199,0.7227036395147314,0.6714975845410628,577
Sri-Lanka_92824,Sri-Lanka,nan,0.09592421158799057,0.09615454053078173,0.9756365634731636,55390,0.03826800287538585,0.0383304038457466,0.9591944886062533,47221,0.916136174923886,0.9166435890335087,0.9993961352657005,3611,0.03450687806015388,0.03494687131050767,0.7326732673267327,4235
Sri-Lanka_956740,Sri-Lanka,nan,0.8547264875239923,0.8998484465774186,0.9445843828715366,7918,0.0,0.0,nan,10,0.9049780173025103,0.9378306878306878,0.9627338563669282,6804,0.5860979462875198,0.6757741347905283,0.8153846153846154,1098
USA_1010394,USA,nan,0.1296111665004985,0.26333558406482105,0.20333680917622524,1481,0.002631578947368421,0.75,0.0026338893766461808,4,0.555858310626703,0.5746478873239437,0.9444444444444444,355,0.07692307692307693,0.10886644219977554,0.20770877944325483,891
USA_1039203,USA,nan,0.35158610271903323,0.5779019242706394,0.4730691056910569,1611,0.054514480408858604,0.5333333333333333,0.057245080500894455,60,0.739961759082218,0.7693836978131213,0.9508599508599509,503,0.18904109589041096,0.3556701030927835,0.2875,388
USA_1049586,USA,nan,0.4264275256222548,0.5490103675777568,0.6563380281690141,2122,0.0,0.0,0.0,12,0.7389635316698656,0.7927247769389156,0.91593973037272,1457,0.005917159763313609,0.006578947368421052,0.05555555555555555,456
USA_1068362,USA,nan,0.5926578894986777,0.6683984349945481,0.8394892657187739,31182,0.7241168810027674,0.8403230376877302,0.8396489075550941,21174,0.6407017543859649,0.7194641449960599,0.8540692235734331,1269,0.233729216152019,0.2440173589584625,0.8471803702109342,8065
