timestamp,level,run_id,split,method,params,git_commit,n_chips,all_iou,all_recall,all_precision,open_water_iou,open_water_recall,open_water_precision,cropland_iou,cropland_recall,cropland_precision,vegetation_iou,vegetation_recall,vegetation_precision,built_iou,built_recall,built_precision,other_iou,other_recall,other_precision,unknown_iou,unknown_recall,unknown_precision,note
2026-09-22T06:49:36,level1,otsu_vh_perchip,train,otsu_vh_perchip,"{""band"": ""vh"", ""clip_db"": [-50.0, 10.0], ""fit"": ""perchip""}",9f55322,368,0.16687795141777698,0.7401054154342102,0.1772658496055394,0.7486404160683053,0.7976624999395326,0.9241360847106458,0.13756571230764233,0.7090712594232919,0.14579474557240163,0.08354730131658236,0.686969549656148,0.08685381579246186,0.006880977900688098,0.3857208377923865,0.006957217113154738,0.2065854238582887,0.775286885356744,0.21974315516092854,nan,nan,nan,
2026-09-22T06:50:02,level1,otsu_vv_perchip,train,otsu_vv_perchip,"{""band"": ""vv"", ""clip_db"": [-50.0, 10.0], ""fit"": ""perchip""}",9f55322,368,0.14506120953664894,0.7164926742163157,0.15389459522330426,0.7936145514379639,0.8384900504241831,0.9368229591073122,0.12436489180492499,0.639791058534337,0.13372838082241323,0.06082956492347842,0.6023059802530787,0.06337501552997381,0.007038152736989375,0.42684604800489223,0.007105302000783823,0.2039236953621775,0.8471387191782489,0.21171410785268618,nan,nan,nan,
2026-09-22T06:50:21,level1,otsu_vh_global,train,otsu_vh_global,"{""band"": ""vh"", ""clip_db"": [-50.0, 10.0], ""fit"": ""global"", ""threshold_db"": -19.6484375}",9f55322,368,0.3028358025538563,0.7968849437511403,0.3281665512955981,0.8985462194380952,0.9723290271902109,0.922126117351458,0.18085149623930266,0.6411440922648216,0.20121992583212736,0.19635220017705857,0.7049784274611876,0.21393092143508358,0.011197363014310471,0.3832747286347653,0.011402814543932903,0.23833441069072434,0.8236659120966499,0.25114895940109794,nan,nan,nan,
2026-09-22T06:50:42,level1,otsu_vv_global,train,otsu_vv_global,"{""band"": ""vv"", ""clip_db"": [-50.0, 10.0], ""fit"": ""global"", ""threshold_db"": -11.9140625}",9f55322,368,0.2053404503902309,0.6992505419456604,0.22523240332517253,0.7943917115764848,0.8609865070378406,0.9112726379069152,0.15464871281124504,0.5706644910760168,0.1750110560627679,0.0950965293449454,0.5783913369500694,0.10217951304327952,0.009051397313691508,0.4088059929674362,0.009171448464622698,0.23816465207698398,0.8422272526890009,0.24928654852790846,nan,nan,nan,
2026-09-22T06:50:59,level1,authors_otsu,train,authors_otsu,"{""band"": ""vh"", ""clip_db"": [-50.0, 10.0], ""fit"": ""otsu""}",9f55322,368,0.42316334149523177,0.7028737126545928,0.5153515562953946,0.89424584164508,0.9609898187877433,0.9279304527791401,0.19830198533397686,0.44534570170745014,0.2633403451835168,0.3694445206502489,0.6030637931146009,0.4881461059949131,0.045231542419528536,0.23115731539519951,0.053241311313778655,0.22836364349963784,0.69240047924662,0.2541470523417072,nan,nan,nan,
2026-09-22T06:51:03,level1,otsu_vh_perchip,valid,otsu_vh_perchip,"{""band"": ""vh"", ""clip_db"": [-50.0, 10.0], ""fit"": ""perchip""}",9f55322,48,0.2641103193831776,0.647676461946689,0.3084215284085701,0.7252785910858182,0.7452682234351201,0.9643371345463758,0.3319758515020391,0.7429080771789406,0.3750648288057643,0.13911972613760007,0.42099936474366817,0.1720355297865891,0.010596549756375927,0.25749333333333335,0.010930545304710458,0.11537012288863657,0.6070744055093651,0.12468033814930041,nan,nan,nan,
2026-09-22T06:51:06,level1,otsu_vv_perchip,valid,otsu_vv_perchip,"{""band"": ""vv"", ""clip_db"": [-50.0, 10.0], ""fit"": ""perchip""}",9f55322,48,0.25155096256477816,0.7192007279626568,0.2789474048026038,0.9121722299320721,0.9405037814675143,0.9680314859923378,0.29710930962343096,0.7424519461373281,0.33124910346822223,0.1313048927523836,0.48942949246570205,0.15214523536904648,0.007015088851686735,0.20426666666666668,0.007212181242302927,0.09547217325610677,0.6264127000912059,0.10123645623269645,nan,nan,nan,
2026-09-22T06:51:09,level1,otsu_vh_global,valid,otsu_vh_global,"{""band"": ""vh"", ""clip_db"": [-50.0, 10.0], ""fit"": ""global"", ""threshold_db"": -19.6484375}",9f55322,48,0.4624111685752329,0.8380435850836907,0.5077889328626661,0.9543248920122851,0.9845747755312599,0.9688098616859274,0.48998749623864657,0.8768237073128654,0.5262082510420082,0.3635128782879855,0.6499244400077335,0.4520195332920787,0.029118222039304455,0.4528,0.030180228217980165,0.2004770114065734,0.7816345683581616,0.21237135987272013,nan,nan,nan,
2026-09-22T06:51:12,level1,otsu_vv_global,valid,otsu_vv_global,"{""band"": ""vv"", ""clip_db"": [-50.0, 10.0], ""fit"": ""global"", ""threshold_db"": -11.9140625}",9f55322,48,0.38751216514329534,0.8527897172728693,0.4152923727836373,0.9515688441900945,0.9870486855705526,0.9636001382180168,0.4035264063214246,0.8468458342427636,0.43529358810800717,0.3013910147857056,0.7524512608457196,0.33456461880296595,0.018352075582124493,0.32778666666666667,0.019069781873467993,0.16123066921428542,0.7802136068629135,0.1689019818809269,nan,nan,nan,
2026-09-22T06:51:14,level1,authors_otsu,valid,authors_otsu,"{""band"": ""vh"", ""clip_db"": [-50.0, 10.0], ""fit"": ""otsu""}",9f55322,48,0.6578897238113102,0.6858486727768139,0.9416515072492544,0.9370411963988245,0.9425578422383426,0.9937926790535175,0.646179832092879,0.6914933521187875,0.9079260319388817,0.4707206338430205,0.481498652546352,0.9546053686602599,0.09946449821499405,0.10698666666666666,0.5858644859813084,0.4352862351208441,0.47660370375266015,0.8339173171436831,nan,nan,nan,
